Trial	MapName	MaxWaypoints	WaypointsVisited	Steps
1	maps/StageA/ptsp_map01.map	10	7	2990
2	maps/StageA/ptsp_map01.map	10	10	3791
3	maps/StageA/ptsp_map01.map	10	6	2970
4	maps/StageA/ptsp_map01.map	10	10	3964
5	maps/StageA/ptsp_map01.map	10	7	3167
6	maps/StageA/ptsp_map01.map	10	7	3683
7	maps/StageA/ptsp_map01.map	10	8	3804
8	maps/StageA/ptsp_map01.map	10	8	3120
9	maps/StageA/ptsp_map01.map	10	10	3906
10	maps/StageA/ptsp_map01.map	10	8	4935
1	maps/StageA/ptsp_map02.map	10	4	1921
2	maps/StageA/ptsp_map02.map	10	10	2096
3	maps/StageA/ptsp_map02.map	10	3	1604
4	maps/StageA/ptsp_map02.map	10	8	4684
5	maps/StageA/ptsp_map02.map	10	7	2846
6	maps/StageA/ptsp_map02.map	10	10	2754
