Trial	MapName	MaxWaypoints	WaypointsVisited	Steps
1	maps/StageA/ptsp_map01.map	10	9	4402
2	maps/StageA/ptsp_map01.map	10	7	2939
3	maps/StageA/ptsp_map01.map	10	10	2790
4	maps/StageA/ptsp_map01.map	10	10	2746
5	maps/StageA/ptsp_map01.map	10	5	2631
6	maps/StageA/ptsp_map01.map	10	10	3401
7	maps/StageA/ptsp_map01.map	10	9	3534
8	maps/StageA/ptsp_map01.map	10	10	2287
9	maps/StageA/ptsp_map01.map	10	6	3185
10	maps/StageA/ptsp_map01.map	10	9	3775
1	maps/StageA/ptsp_map02.map	10	4	1862
2	maps/StageA/ptsp_map02.map	10	5	1948
3	maps/StageA/ptsp_map02.map	10	10	2632
4	maps/StageA/ptsp_map02.map	10	4	2700
5	maps/StageA/ptsp_map02.map	10	4	1791
6	maps/StageA/ptsp_map02.map	10	3	1920
7	maps/StageA/ptsp_map02.map	10	9	3226
8	maps/StageA/ptsp_map02.map	10	6	2938
9	maps/StageA/ptsp_map02.map	10	10	2741
10	maps/StageA/ptsp_map02.map	10	10	2702
1	maps/StageA/ptsp_map08.map	10	6	2522
2	maps/StageA/ptsp_map08.map	10	8	2896
3	maps/StageA/ptsp_map08.map	10	10	3957
4	maps/StageA/ptsp_map08.map	10	10	4262
5	maps/StageA/ptsp_map08.map	10	10	3915
6	maps/StageA/ptsp_map08.map	10	10	4321
7	maps/StageA/ptsp_map08.map	10	9	3627
8	maps/StageA/ptsp_map08.map	10	8	2861
9	maps/StageA/ptsp_map08.map	10	7	3381
10	maps/StageA/ptsp_map08.map	10	8	3215
1	maps/StageA/ptsp_map19.map	10	7	5354
2	maps/StageA/ptsp_map19.map	10	4	2866
3	maps/StageA/ptsp_map19.map	10	4	2574
4	maps/StageA/ptsp_map19.map	10	7	2991
5	maps/StageA/ptsp_map19.map	10	7	4254
6	maps/StageA/ptsp_map19.map	10	8	4970
7	maps/StageA/ptsp_map19.map	10	8	2925
8	maps/StageA/ptsp_map19.map	10	6	3156
9	maps/StageA/ptsp_map19.map	10	9	4961
10	maps/StageA/ptsp_map19.map	10	1	1258
1	maps/StageA/ptsp_map24.map	10	5	2752
2	maps/StageA/ptsp_map24.map	10	8	4088
3	maps/StageA/ptsp_map24.map	10	5	2786
4	maps/StageA/ptsp_map24.map	10	9	4929
5	maps/StageA/ptsp_map24.map	10	6	3388
6	maps/StageA/ptsp_map24.map	10	5	3182
7	maps/StageA/ptsp_map24.map	10	3	2010
8	maps/StageA/ptsp_map24.map	10	3	1695
9	maps/StageA/ptsp_map24.map	10	4	2287
10	maps/StageA/ptsp_map24.map	10	7	3603
1	maps/StageA/ptsp_map35.map	10	7	3197
2	maps/StageA/ptsp_map35.map	10	4	2188
3	maps/StageA/ptsp_map35.map	10	5	2859
4	maps/StageA/ptsp_map35.map	10	7	3384
5	maps/StageA/ptsp_map35.map	10	2	1351
6	maps/StageA/ptsp_map35.map	10	3	1740
7	maps/StageA/ptsp_map35.map	10	9	4370
8	maps/StageA/ptsp_map35.map	10	2	1367
9	maps/StageA/ptsp_map35.map	10	5	2556
10	maps/StageA/ptsp_map35.map	10	7	3180
1	maps/StageA/ptsp_map40.map	10	2	1701
2	maps/StageA/ptsp_map40.map	10	10	3431
3	maps/StageA/ptsp_map40.map	10	6	2524
4	maps/StageA/ptsp_map40.map	10	8	3324
5	maps/StageA/ptsp_map40.map	10	7	3454
6	maps/StageA/ptsp_map40.map	10	8	3400
7	maps/StageA/ptsp_map40.map	10	9	3649
8	maps/StageA/ptsp_map40.map	10	3	2136
9	maps/StageA/ptsp_map40.map	10	8	3030
10	maps/StageA/ptsp_map40.map	10	9	3858
1	maps/StageA/ptsp_map45.map	10	4	2992
2	maps/StageA/ptsp_map45.map	10	1	1458
3	maps/StageA/ptsp_map45.map	10	2	1890
4	maps/StageA/ptsp_map45.map	10	2	1887
5	maps/StageA/ptsp_map45.map	10	2	1637
6	maps/StageA/ptsp_map45.map	10	9	4120
7	maps/StageA/ptsp_map45.map	10	1	1387
8	maps/StageA/ptsp_map45.map	10	1	1863
9	maps/StageA/ptsp_map45.map	10	1	1323
10	maps/StageA/ptsp_map45.map	10	1	1294
1	maps/StageA/ptsp_map56.map	10	2	1766
2	maps/StageA/ptsp_map56.map	10	2	1935
3	maps/StageA/ptsp_map56.map	10	2	1633
4	maps/StageA/ptsp_map56.map	10	3	2338
5	maps/StageA/ptsp_map56.map	10	2	2656
6	maps/StageA/ptsp_map56.map	10	2	1511
7	maps/StageA/ptsp_map56.map	10	6	4563
8	maps/StageA/ptsp_map56.map	10	2	1735
9	maps/StageA/ptsp_map56.map	10	1	1427
10	maps/StageA/ptsp_map56.map	10	0	1000
1	maps/StageA/ptsp_map61.map	10	6	2358
2	maps/StageA/ptsp_map61.map	10	8	2593
3	maps/StageA/ptsp_map61.map	10	7	2668
4	maps/StageA/ptsp_map61.map	10	5	2076
5	maps/StageA/ptsp_map61.map	10	4	2089
6	maps/StageA/ptsp_map61.map	10	8	4298
7	maps/StageA/ptsp_map61.map	10	6	2394
8	maps/StageA/ptsp_map61.map	10	7	3051
9	maps/StageA/ptsp_map61.map	10	7	2264
10	maps/StageA/ptsp_map61.map	10	6	2793
