Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	./maps/StageA/ptsp_map24.map	8	2704	50233	21
2	./maps/StageA/ptsp_map24.map	6	2092	50239	23
3	./maps/StageA/ptsp_map24.map	1	1281	50213	23
4	./maps/StageA/ptsp_map24.map	4	1740	50224	20
5	./maps/StageA/ptsp_map24.map	5	1979	50232	21
6	./maps/StageA/ptsp_map24.map	7	2395	50232	22
7	./maps/StageA/ptsp_map24.map	7	2632	50225	21
8	./maps/StageA/ptsp_map24.map	6	2181	50229	21
9	./maps/StageA/ptsp_map24.map	6	2197	50234	20
10	./maps/StageA/ptsp_map24.map	1	1192	50210	21
1	./maps/StageA/ptsp_map61.map	10	1634	50251	23
2	./maps/StageA/ptsp_map61.map	10	1425	50261	23
3	./maps/StageA/ptsp_map61.map	10	1647	50253	24
4	./maps/StageA/ptsp_map61.map	10	1552	50258	22
5	./maps/StageA/ptsp_map61.map	10	1710	50262	24
6	./maps/StageA/ptsp_map61.map	10	1659	50267	23
7	./maps/StageA/ptsp_map61.map	10	1476	50258	23
8	./maps/StageA/ptsp_map61.map	10	1913	50260	23
9	./maps/StageA/ptsp_map61.map	10	1551	50259	23
10	./maps/StageA/ptsp_map61.map	10	1634	50260	23
1	./maps/StageA/ptsp_map19.map	10	2159	50250	23
2	./maps/StageA/ptsp_map19.map	8	2224	50230	24
3	./maps/StageA/ptsp_map19.map	10	1979	50248	20
4	./maps/StageA/ptsp_map19.map	9	2623	50230	20
5	./maps/StageA/ptsp_map19.map	3	1655	50223	21
6	./maps/StageA/ptsp_map19.map	3	1665	50221	22
7	./maps/StageA/ptsp_map19.map	3	1527	50221	22
8	./maps/StageA/ptsp_map19.map	8	2528	50229	21
9	./maps/StageA/ptsp_map19.map	7	2143	50226	20
10	./maps/StageA/ptsp_map19.map	3	1480	50221	21
1	./maps/StageA/ptsp_map56.map	4	2018	50216	20
2	./maps/StageA/ptsp_map56.map	2	1364	50210	21
3	./maps/StageA/ptsp_map56.map	4	1773	50216	20
4	./maps/StageA/ptsp_map56.map	0	1000	50196	23
5	./maps/StageA/ptsp_map56.map	3	1664	50212	21
6	./maps/StageA/ptsp_map56.map	2	1623	50209	20
7	./maps/StageA/ptsp_map56.map	4	2059	50221	21
8	./maps/StageA/ptsp_map56.map	2	1415	50203	21
9	./maps/StageA/ptsp_map56.map	0	1000	50189	24
10	./maps/StageA/ptsp_map56.map	4	1964	50214	23
1	./maps/StageA/ptsp_map08.map	6	1651	50233	22
2	./maps/StageA/ptsp_map08.map	10	1514	50273	20
3	./maps/StageA/ptsp_map08.map	10	2006	50265	20
4	./maps/StageA/ptsp_map08.map	7	2007	50248	24
5	./maps/StageA/ptsp_map08.map	8	1991	50242	22
6	./maps/StageA/ptsp_map08.map	8	2409	50245	23
7	./maps/StageA/ptsp_map08.map	8	2029	50249	21
8	./maps/StageA/ptsp_map08.map	9	2265	50247	21
9	./maps/StageA/ptsp_map08.map	8	2411	50246	21
10	./maps/StageA/ptsp_map08.map	8	1952	50244	22
1	./maps/StageA/ptsp_map40.map	7	2396	50230	21
2	./maps/StageA/ptsp_map40.map	10	2160	50253	19
3	./maps/StageA/ptsp_map40.map	10	1894	50245	20
4	./maps/StageA/ptsp_map40.map	8	2406	50235	20
5	./maps/StageA/ptsp_map40.map	10	1515	50247	19
6	./maps/StageA/ptsp_map40.map	10	1510	50256	20
7	./maps/StageA/ptsp_map40.map	10	1646	50247	20
8	./maps/StageA/ptsp_map40.map	10	1584	50256	21
9	./maps/StageA/ptsp_map40.map	3	1507	50221	23
10	./maps/StageA/ptsp_map40.map	7	2202	50233	21
1	./maps/StageA/ptsp_map45.map	1	1186	50215	20
2	./maps/StageA/ptsp_map45.map	2	1588	50212	22
3	./maps/StageA/ptsp_map45.map	1	1262	50211	22
4	./maps/StageA/ptsp_map45.map	1	1391	50210	21
5	./maps/StageA/ptsp_map45.map	1	1363	50224	22
6	./maps/StageA/ptsp_map45.map	1	1214	50216	21
7	./maps/StageA/ptsp_map45.map	1	1384	50208	21
8	./maps/StageA/ptsp_map45.map	1	1186	50207	19
9	./maps/StageA/ptsp_map45.map	1	1203	50204	23
10	./maps/StageA/ptsp_map45.map	1	1268	50203	22
1	./maps/StageA/ptsp_map35.map	8	2644	50229	22
2	./maps/StageA/ptsp_map35.map	4	1526	50210	22
3	./maps/StageA/ptsp_map35.map	7	2334	50232	21
4	./maps/StageA/ptsp_map35.map	8	2592	50230	20
5	./maps/StageA/ptsp_map35.map	8	2729	50228	21
6	./maps/StageA/ptsp_map35.map	6	1980	50234	22
7	./maps/StageA/ptsp_map35.map	4	1568	50231	23
8	./maps/StageA/ptsp_map35.map	4	1584	50222	19
9	./maps/StageA/ptsp_map35.map	8	2551	50237	20
10	./maps/StageA/ptsp_map35.map	5	1733	50229	20
1	./maps/StageA/ptsp_map02.map	5	1692	50212	20
2	./maps/StageA/ptsp_map02.map	10	1536	50252	20
3	./maps/StageA/ptsp_map02.map	10	1288	50249	19
4	./maps/StageA/ptsp_map02.map	10	1399	50249	20
5	./maps/StageA/ptsp_map02.map	10	1543	50247	20
6	./maps/StageA/ptsp_map02.map	6	1689	50230	22
7	./maps/StageA/ptsp_map02.map	6	1753	50225	21
8	./maps/StageA/ptsp_map02.map	6	1792	50224	21
9	./maps/StageA/ptsp_map02.map	6	1987	50220	22
10	./maps/StageA/ptsp_map02.map	10	1574	50251	21
1	./maps/StageA/ptsp_map01.map	10	1920	50241	21
2	./maps/StageA/ptsp_map01.map	10	1732	50248	23
3	./maps/StageA/ptsp_map01.map	7	2099	50232	24
4	./maps/StageA/ptsp_map01.map	10	1880	50249	20
5	./maps/StageA/ptsp_map01.map	10	1973	50252	22
6	./maps/StageA/ptsp_map01.map	7	2038	50224	24
7	./maps/StageA/ptsp_map01.map	10	1701	50246	23
8	./maps/StageA/ptsp_map01.map	9	2623	50233	23
9	./maps/StageA/ptsp_map01.map	7	2033	50229	20
10	./maps/StageA/ptsp_map01.map	7	2178	50237	21
