Trial	MapName	WaypointsVisited	Steps	FmCallsPerAction	TimePerActionMs
1	./maps/StageA/ptsp_map24.map	6	1834	50475	24
2	./maps/StageA/ptsp_map24.map	8	2466	50510	26
3	./maps/StageA/ptsp_map24.map	8	2602	50518	24
4	./maps/StageA/ptsp_map24.map	8	2505	50513	23
5	./maps/StageA/ptsp_map24.map	8	2346	50502	24
6	./maps/StageA/ptsp_map24.map	8	2430	50511	26
7	./maps/StageA/ptsp_map24.map	10	2171	50594	24
8	./maps/StageA/ptsp_map24.map	8	2347	50508	26
9	./maps/StageA/ptsp_map24.map	6	2049	50481	25
10	./maps/StageA/ptsp_map24.map	7	2134	50493	26
1	./maps/StageA/ptsp_map61.map	8	2213	50490	26
2	./maps/StageA/ptsp_map61.map	10	1499	50584	25
3	./maps/StageA/ptsp_map61.map	10	1821	50584	25
4	./maps/StageA/ptsp_map61.map	8	2385	50501	26
5	./maps/StageA/ptsp_map61.map	10	1467	50571	25
6	./maps/StageA/ptsp_map61.map	10	1365	50571	25
7	./maps/StageA/ptsp_map61.map	10	1703	50575	23
8	./maps/StageA/ptsp_map61.map	10	1599	50579	25
9	./maps/StageA/ptsp_map61.map	10	1688	50580	25
10	./maps/StageA/ptsp_map61.map	10	1373	50580	25
1	./maps/StageA/ptsp_map19.map	8	2143	50494	26
2	./maps/StageA/ptsp_map19.map	9	2288	50504	26
3	./maps/StageA/ptsp_map19.map	8	2247	50497	27
4	./maps/StageA/ptsp_map19.map	10	1622	50593	24
5	./maps/StageA/ptsp_map19.map	8	2167	50497	25
6	./maps/StageA/ptsp_map19.map	8	2427	50510	26
7	./maps/StageA/ptsp_map19.map	8	2151	50496	26
8	./maps/StageA/ptsp_map19.map	8	2220	50498	26
9	./maps/StageA/ptsp_map19.map	8	2167	50497	27
10	./maps/StageA/ptsp_map19.map	10	1659	50597	24
1	./maps/StageA/ptsp_map56.map	4	1749	50464	24
2	./maps/StageA/ptsp_map56.map	4	1712	50464	26
3	./maps/StageA/ptsp_map56.map	3	1644	50452	25
4	./maps/StageA/ptsp_map56.map	9	3153	50540	26
5	./maps/StageA/ptsp_map56.map	7	2612	50521	26
6	./maps/StageA/ptsp_map56.map	2	1329	50407	24
7	./maps/StageA/ptsp_map56.map	4	1914	50479	27
8	./maps/StageA/ptsp_map56.map	3	1565	50440	26
9	./maps/StageA/ptsp_map56.map	7	2660	50522	25
10	./maps/StageA/ptsp_map56.map	4	1892	50475	26
1	./maps/StageA/ptsp_map08.map	10	1527	50575	24
2	./maps/StageA/ptsp_map08.map	10	1499	50575	25
3	./maps/StageA/ptsp_map08.map	10	1645	50588	25
4	./maps/StageA/ptsp_map08.map	10	1333	50571	23
